Step,Training Loss,Learning Rate
70200,3.3899,1.4812e-04
70300,3.4308,1.4725e-04
70400,2.9942,1.4610e-04
70500,3.4931,1.4524e-04
70600,3.5582,1.4438e-04
70700,3.6139,1.4352e-04
70800,3.0685,1.4266e-04
70900,3.5925,1.4181e-04
71000,3.3494,1.4096e-04
71100,3.6626,1.4010e-04
71200,3.5485,1.3897e-04
71300,3.3115,1.3812e-04
71400,3.4469,1.3728e-04
71500,4.1557,1.3643e-04
71600,3.3016,1.3559e-04
71700,2.6939,1.3475e-04
71800,3.0808,1.3391e-04
71900,3.3521,1.3308e-04
72000,2.9747,1.3197e-04
72100,3.8243,1.3113e-04
72200,3.1804,1.3030e-04
72300,3.1553,1.2948e-04
72400,3.1257,1.2865e-04
72500,3.3383,1.2783e-04
72600,3.0749,1.2700e-04
72700,3.2818,1.2618e-04
72800,3.3358,1.2509e-04
72900,3.2654,1.2428e-04
73000,3.7826,1.2346e-04
73100,3.8303,1.2265e-04
73200,3.2504,1.2184e-04
73300,3.5294,1.2103e-04
73400,2.8910,1.2023e-04
73500,3.2457,1.1942e-04
73600,3.5540,1.1836e-04
73700,3.5390,1.1756e-04
73800,3.6269,1.1676e-04
73900,3.4219,1.1596e-04
74000,2.9425,1.1517e-04
74100,3.6400,1.1438e-04
74200,2.7558,1.1359e-04
74300,3.1882,1.1281e-04
74400,3.1184,1.1176e-04
74500,3.6129,1.1098e-04
74600,2.9829,1.1020e-04
74700,3.2515,1.0942e-04
74800,3.8262,1.0865e-04
74900,3.6512,1.0787e-04
75000,3.0886,1.0710e-04
75100,3.3727,1.0633e-04
75200,2.9335,1.0531e-04
75300,2.7575,1.0455e-04
75400,3.6338,1.0379e-04
75500,3.5035,1.0303e-04
75600,2.6919,1.0227e-04
75700,2.5915,1.0151e-04
75800,2.6521,1.0076e-04
75900,3.8738,1.0001e-04
76000,3.7009,9.9014e-05
76100,2.7687,9.8269e-05
76200,3.3055,9.7526e-05
76300,3.4423,9.6785e-05
76400,3.7584,9.6047e-05
76500,3.3206,9.5311e-05
76600,3.6505,9.4577e-05
76700,3.1002,9.3845e-05
76800,3.8252,9.2874e-05
76900,3.7014,9.2148e-05
77000,3.9360,9.1424e-05
77100,3.8089,9.0702e-05
77200,3.0390,8.9983e-05
77300,2.6671,8.9267e-05
77400,2.5579,8.8552e-05
77500,3.2527,8.7840e-05
77600,3.2696,8.6895e-05
77700,3.3106,8.6188e-05
77800,3.9125,8.5484e-05
77900,3.5995,8.4783e-05
78000,3.3906,8.4084e-05
78100,3.7696,8.3387e-05
78200,3.6661,8.2693e-05
78300,2.7811,8.2001e-05
78400,3.6068,8.1082e-05
78500,2.9191,8.0396e-05
78600,3.5757,7.9712e-05
78700,3.1103,7.9031e-05
78800,3.0595,7.8353e-05
78900,3.2073,7.7676e-05
79000,3.2715,7.7003e-05
79100,3.6296,7.6331e-05
79200,3.0847,7.5440e-05
79300,3.4613,7.4775e-05
79400,2.6643,7.4112e-05
79500,3.0995,7.3452e-05
79600,3.1670,7.2794e-05
79700,3.6793,7.2139e-05
79800,3.3297,7.1486e-05
79900,2.2715,7.0836e-05
80000,3.9144,6.9974e-05
80100,3.3706,6.9329e-05
80200,3.5842,6.8688e-05
80300,3.1920,6.8049e-05
80400,3.2003,6.7413e-05
80500,2.5003,6.6779e-05
80600,3.2026,6.6148e-05
80700,3.5635,6.5520e-05
80800,3.1082,6.4686e-05
80900,3.6242,6.4064e-05
81000,3.4182,6.3444e-05
81100,3.0847,6.2827e-05
81200,3.9862,6.2213e-05
81300,3.5017,6.1601e-05
81400,3.4845,6.0993e-05
81500,2.4724,6.0386e-05
81600,3.6655,5.9582e-05
81700,3.0085,5.8982e-05
81800,3.1414,5.8385e-05
81900,3.0345,5.7790e-05
82000,3.1599,5.7199e-05
82100,3.7468,5.6610e-05
82200,3.2976,5.6023e-05
82300,3.3025,5.5440e-05
82400,3.4031,5.4666e-05
82500,3.3921,5.4089e-05
82600,3.7616,5.3514e-05
82700,2.8315,5.2942e-05
82800,3.1668,5.2374e-05
82900,3.5237,5.1807e-05
83000,3.3264,5.1244e-05
83100,3.5172,5.0684e-05
83200,2.8158,4.9941e-05
83300,3.1156,4.9387e-05
83400,3.3922,4.8835e-05
83500,2.9265,4.8287e-05
83600,2.9283,4.7742e-05
83700,4.0536,4.7199e-05
83800,3.4606,4.6659e-05
83900,3.5657,4.6122e-05
84000,3.5153,4.5410e-05
84100,3.1324,4.4880e-05
84200,3.4325,4.4353e-05
84300,3.1720,4.3828e-05
84400,3.1355,4.3306e-05
84500,3.3878,4.2787e-05
84600,2.9378,4.2271e-05
84700,3.3600,4.1758e-05
84800,2.6521,4.1079e-05
84900,2.7665,4.0572e-05
85000,3.6216,4.0069e-05
85100,3.3183,3.9569e-05
85200,3.1108,3.9071e-05
85300,2.7668,3.8576e-05
85400,2.9163,3.8085e-05
85500,3.5209,3.7596e-05
85600,2.8334,3.6949e-05
85700,3.4609,3.6467e-05
85800,4.3674,3.5988e-05
85900,2.7553,3.5512e-05
86000,3.7434,3.5039e-05
86100,3.3561,3.4569e-05
86200,3.2774,3.4102e-05
86300,2.4564,3.3638e-05
86400,2.7186,3.3024e-05
86500,3.3303,3.2567e-05
86600,2.6130,3.2113e-05
86700,3.3546,3.1662e-05
86800,3.1250,3.1214e-05
86900,3.3288,3.0769e-05
87000,3.1543,3.0327e-05
